시흥목감배달점	201541	경기도 시흥시 수풀안길 14-23, 1층 107호
시흥배곧신도시배달점	201221	경기도 시흥시 배곧4로 32-28 (경기도  시흥시 정왕동 (정왕본동)  2473-2 )
시흥장곡배달점	201277	경기도 시흥시 장곡로 51 (경기도  시흥시 장곡동 (장곡동)  809-2 )
신길	201102	서울특별시 영등포구 신길로 158-1
신내	200145	서울특별시 중랑구 봉화산로56길 25
신도림배달점	201762	서울특별시 구로구 경인로 619-3 신도림3차푸르지오, 1층 111호
신정	200943	서울특별시 양천구 신월로 332 (서울특별시  양천구 신정동 (신정1동)  1027-6 )
신촌	201169	서울특별시 서대문구 연세로5가길 14 (신촌동)
쌍문배달점	201647	서울특별시 도봉구 해등로 164, 1층 (서울특별시  도봉구 쌍문동 (쌍문제2동)  624 )
아산배방	201578	충청남도 아산시 모산로91번길 10-8, 1층 102호
아산온천배달점	201727	충청남도 아산시 남산로 121
안산반달섬	201685	경기도 안산시 단원구 엠티브이17로 11 블루원
안산상록수	201691	경기 안산시 상록구 본오동 873-5  2층 201호
안산선부	200818	경기도 안산시 단원구 선부광장로 37 207호
안양관양배달점	201672	경기도 안양시 동안구 관악대로 418 (경기도  안양시 동안구 관양동 (관양2동)  1466-6 )
안양대교배달점	201275	경기도 안양시 만안구 예술공원로 15
안양명학역배달점	201345	경기 안양시 만안구 안양로 62  (안양동 350-14) 1층
안양평촌배달점	201425	경기도 안양시 동안구 동안로 194, 1층 113호(비산동, 평촌스포츠센터)
안양호계배달점	201753	경기도 안양시 동안구 귀인로 108, 105호
암사	200472	서울특별시 강동구 올림픽로 814 1층
압구정배달점	201332	서울특별시 강남구 압구정로42길 30 (서울특별시  강남구 신사동 (압구정동)  636-30 )
약수역남산타운배달점	201289	서울특별시 중구 다산로 32
양산물금	201729	경상남도 양산시 물금읍 야리2길 15 나래플러스
양산평산배달점	201737	경상남도 양산시 평산로 34, 1층(평산동)
양주백석배달점	201392	경기도 양주시 백석읍 부흥로 1036번길 16
양주옥정배달점	201325	경기도 양주시 옥정동 1065-5 상가 102호
여수여서	200689	전라남도 여수시 여문문화길 60 (문수동)
여수여천	201520	전라남도 여수시 선소로 35 (학동 181-11) 1층
여의도	201681	서울특별시 영등포구 국회대로74길 12 국민의힘
연희	201706	서울특별시 서대문구 증가로 5
영등포시장역배달점	201726	서울특별시 영등포구 국회대로54길 10 (서울특별시  영등포구 영등포동7가 203)
영종도배달점	201307	인천광역시 중구 하늘달빛로 88 (중산동 1875-5) 채운에비뉴1 1층 101호
영천동부	200692	경상북도 영천시 영화로 332
오목교역	200187	서울특별시 양천구 목동동로12길 38 목동그린빌라트 (신정2동) 1층
오산배달점	201274	경기도 오산시 오산로 366 (경기도  오산시 궐동 (신장동)  39-5 )
용답답십리	201164	서울특별시 성동구 용답중앙15길 17 (용답동)
용인기흥구청	201557	경기도 용인시 기흥구 구갈로 72번길 10, 2층
용인남사	201736	경기도 용인시 처인구 남사읍 한숲로 60
용인동백배달점	201341	경기도 용인시 기흥구 중동 850-1 대성빌딩 106호
용인동천역배달점	201550	경기 용인시 수지구 동천로 39
용인모현	201398	경기도 용인시 처인구 문현로 348 203호
용인상현	200760	경기도 용인시 수지구 만현로 82-4 헤르메스상가204,205호
용인서천배달점	201704	경기도 용인시 기흥구 서천로127번길 11-5, 1층 111호(서천동, 경희마크 329)
울산무거배달점	201466	울산광역시 남구 대학로147번길 56
울산삼산	201668	울산광역시 남구 돋질로302번길 27 (울산광역시  남구 삼산동 (삼산동)  1571-3 )
원주기업도시	201710	강원특별자치도 원주시 지정면 신지정로 180
원주단관	201574	강원도 원주시 단구로 384
원주문막	201217	강원도 원주시 문막읍 왕건로 33-4
위례신도시배달점	201585	경기도 성남시 수정구 위례광장로 36
응암	200164	서울특별시 은평구 응암로 253 (응암제3동) 1층
의정부금오배달점	201424	경기도 의정부시 부용로 95
의정부신곡배달점	201714	경기도 의정부시 장금로78번길 42
의정부신시가지	200623	경기도 의정부시 신흥로 199 (의정부2동)
이수역	201605	서울특별시 동작구 동작대로27나길 22 (사당제2동)
이천	201721	경기도 이천시 증신로153번길 25 장미빌딩
익산영등	201730	전북특별자치도 익산시 고봉로30길 28 대덕빌딩
인제기린	201493	강원도 인제군 기린면 기린로7
인천가정배달점	201373	인천광역시 서구 염곡로464번길 23, 114호 (인천광역시  서구 가정동 (가정1동)  617-4 )
인천가좌	200475	인천광역시 서구 건지로 370
인천검단	200708	인천광역시 서구 검단로459번길 9 롯데프라자 104,105
인천논현배달점	201657	인천광역시 남동구 앵고개로847번길 80-1 (인천광역시  남동구 논현동 (논현고잔동)  741-2 )
인천도화배달점	201397	인천광역시 미추홀구 숙골로 120, 스카이프라자 109호
인천만수	201527	인천광역시 남동구 담방로48번길 13-1 (만수6동) 1층
인천부개배달점	201545	인천시 부평구 부평문화로 197, 1층 101호
인천삼산배달점	201420	인천광역시 부평구 충선로311번길 3-6 (인천광역시  부평구 삼산동 (삼산2동)  431-2 )
인천서창배달점	201540	인천광역시 남동구 서창남순환로215번길 36 (인천광역시  남동구 서창동 (장수서창동)  688 )
인천송도	201687	인천광역시 연수구 신송로 121 (송도1동) 2층 209호
인천송도8공구배달점	201452	인천광역시 연수구 센트럴로 415, 판매시설동 1층 184호(송도동)
인천송림배달점	201338	인천광역시 동구 샛골로210번길 9
인천시청배달점	201764	인천광역시 남동구 구월남로 115 (구월동)
인천십정배달점	201444	인천광역시 부평구 열우물로 18, 102호(십정동, 동암역 대우 마이빌)
인천연수	200311	인천광역시 연수구 청능대로113번길 26 (연수2동)
인천옥련	200084	인천광역시 연수구 독배로 41 2F
인천용현	201650	인천 미추홀구 토금남로 10-1
인천원당배달점	201336	인천광역시 서구 고산후로121번길 25 (인천광역시  서구 원당동 (검단3동)  825-4 )
인천주안	201693	인천 미추홀구 제일로 30
인천청라	201105	인천광역시 서구 청라라임로 57 영화블렌하임 2층 204, 205호
인천효성배달점	201615	인천광역시 계양구 아나지로197번길 7, 상가동 1층 103호(효성동, 유승그린아파트)
일산주엽	200870	경기도 고양시 일산서구 중앙로 1376, A-2-6호
자곡배달점	201387	서울특별시 강남구 밤고개로 223 강남센터뷰 지상 1층, 101호
잠실배달점	201573	서울특별시 송파구 잠실동 187-4
